operator;reference;license;rfc_date;raster;dl_normal;ul_normal;dl_max;ul_max
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47382;228000000;28200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47383;228000000;28200000;380000000;47000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47384;198000000;27600000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47385;186000000;27000000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47386;153000000;24600000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47387;150000000;24000000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47388;138000000;22800000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47389;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47390;60000000;10200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47391;123000000;20400000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47392;105000000;17400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47393;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47394;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47395;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47396;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47397;24000000;4200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47399;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26728E47400;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47305;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47306;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47310;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47311;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47312;129000000;21600000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47313;90000000;15000000;205000000;34000000
